Script started on 2025-07-09 19:03:08+03:00 [TERM="xterm-256color" TTY="/dev/pts/2" COLUMNS="80" LINES="24"]
[?2004h]0;vboxuser@ubuntu: ~/codeby-devops/lesson4[01;32mvboxuser@ubuntu[00m:[01;34m~/codeby-devops/lesson4[00m$ [7mps aux[27mps aux
[?2004lUSER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.2  0.0  23156 13976 ?        Ss   17:56   0:11 /sbin/init sp
root           2  0.0  0.0      0     0 ?        S    17:56   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    17:56   0:00 [pool_workque
root           4  0.0  0.0      0     0 ?        I<   17:56   0:00 [kworker/R-rc
root           5  0.0  0.0      0     0 ?        I<   17:56   0:00 [kworker/R-sy
root           6  0.0  0.0      0     0 ?        I<   17:56   0:00 [kworker/R-sl
root           7  0.0  0.0      0     0 ?        I<   17:56   0:00 [kworker/R-ne
root          10  0.0  0.0      0     0 ?        I<   17:56   0:00 [kworker/0:0H
root          11  0.0  0.0      0     0 ?        I    17:56   0:00 [kworker/u24:
root          12  0.0  0.0      0     0 ?        I<   17:56   0:00 [kworker/R-mm
root          13  0.0  0.0      0     0 ?        I    17:56   0:00 [rcu_tasks_kt
root          14  0.0  0.0      0     0 ?        I    17:56   0:00 [rcu_tasks_ru
root          15  0.0  0.0      0     0 ?        I    17:56   0:00 [rcu_tasks_tr
root          16  0.1  0.0      0     0 ?        S    17:56   0:06 [ksoftirqd/0]
root          17  0.1  0.0      0     0 ?        I    17:56   0:07 [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    17:56   0:00 [rcu_exp_par_
root          19  0.0  0.0      0     0 ?        S    17:56   0:01 [rcu_exp_gp_k
root          20  0.0  0.0      0     0 ?        S    17:56   0:00 [migration/0]
root          21  0.0  0.0      0     0 ?        S    17:56   0:00 [idle_inject/
root          22  0.0  0.0      0     0 ?        S    17:56   0:00 [cpuhp/0]
root          23  0.0  0.0      0     0 ?        S    17:56   0:00 [cpuhp/1]
root          24  0.0  0.0      0     0 ?        S    17:56   0:00 [idle_inject/
root          25  0.0  0.0      0     0 ?        S    17:56   0:02 [migration/1]
root          26  0.1  0.0      0     0 ?        S    17:56   0:04 [ksoftirqd/1]
root          29  0.0  0.0      0     0 ?        S    17:56   0:00 [cpuhp/2]
root          30  0.0  0.0      0     0 ?        S    17:56   0:00 [idle_inject/
root          31  0.0  0.0      0     0 ?        S    17:56   0:03 [migration/2]
root          32  0.0  0.0      0     0 ?        S    17:56   0:00 [ksoftirqd/2]
root          35  0.0  0.0      0     0 ?        S    17:56   0:00 [cpuhp/3]
root          36  0.0  0.0      0     0 ?        S    17:56   0:00 [idle_inject/
root          37  0.0  0.0      0     0 ?        S    17:56   0:02 [migration/3]
root          38  0.0  0.0      0     0 ?        S    17:56   0:02 [ksoftirqd/3]
root          41  0.0  0.0      0     0 ?        S    17:56   0:00 [cpuhp/4]
root          42  0.0  0.0      0     0 ?        S    17:56   0:00 [idle_inject/
root          43  0.0  0.0      0     0 ?        S    17:56   0:03 [migration/4]
root          44  0.0  0.0      0     0 ?        S    17:56   0:00 [ksoftirqd/4]
root          47  0.0  0.0      0     0 ?        S    17:56   0:00 [cpuhp/5]
root          48  0.0  0.0      0     0 ?        S    17:56   0:00 [idle_inject/
root          49  0.0  0.0      0     0 ?        S    17:56   0:02 [migration/5]
